id,name,description
BK-001,Fiksi,Karya sastra yang bersifat imajinatif dan berdasarkan rekaan penulis
BK-002,Non-Fiksi,Buku yang menyajikan informasi berdasarkan fakta dan kejadian nyata
BK-003,Sains Fiksi,Cerita spekulatif tentang masa depan teknologi dan luar angkasa
BK-004,Misteri & Thriller,Kisah yang berfokus pada pemecahan kejahatan dan ketegangan
BK-005,Romansa,Cerita yang berfokus pada hubungan asmara dan emosi antar tokoh
BK-006,Fantasi,Kisah yang mengandung unsur sihir makhluk mitologi dan dunia lain
BK-007,Horor,Cerita yang dirancang untuk menakuti dan memicu rasa ngeri pembaca
BK-008,Biografi,Kisah hidup seseorang yang ditulis oleh orang lain berdasarkan fakta
BK-009,Sejarah,Buku yang membahas peristiwa masa lalu dan perkembangan peradaban
BK-010,Bisnis & Ekonomi,Panduan tentang manajemen keuangan investasi dan dunia usaha
BK-011,Pengembangan Diri,Buku motivasi untuk meningkatkan kualitas hidup dan keterampilan
BK-012,Sains & Alam,Penjelasan ilmiah tentang fenomena alam biologi fisika dan kimia
BK-013,Teknologi,Materi tentang komputer pemrograman dan perkembangan digital
BK-014,Seni & Fotografi,Kumpulan karya seni desain dan teknik fotografi visual
BK-015,Masakan & Kuliner,Kumpulan resep makanan dan panduan teknik memasak
BK-016,Travel,Panduan perjalanan wisata dan ulasan lokasi menarik di dunia
BK-017,Anak-Anak,Buku bergambar dan cerita mendidik untuk usia dini
BK-018,Komik & Manga,Cerita bergambar dengan gaya visual khas dan dialog balon kata
BK-019,Agama & Spiritual,Pembahasan tentang keyakinan teologi dan kedamaian batin
BK-020,Kesehatan,Panduan gaya hidup sehat medis dan kebugaran tubuh
